Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Unnamed: 10,Median,Mean,Std
India,IND,1990,3471390.5,2950431.5,35889652.0,1521279.0,7188627.5,533315.25,6217600.5,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1991,3698625.0,3134693.2,36412756.0,1553297.0,7256039.0,546256.5,6343561.5,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1992,3887479.5,3301154.0,36785348.0,1566994.4,7289257.0,548531.75,6469025.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1993,4097796.0,3416338.0,37259416.0,1583104.6,7416288.0,547203.25,6594633.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1994,4322356.5,3575186.8,38109204.0,1621287.6,7593983.5,560748.0,6722935.5,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1995,4714343.0,3770639.0,38690788.0,1635942.8,7801380.0,567165.4,6854380.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1996,4935869.0,3903091.5,39145784.0,1672318.8,7919389.5,580212.75,6982320.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1997,5032185.0,4054808.0,39722880.0,1706459.8,8033342.5,594262.8,7117065.5,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1998,5130374.5,4185590.0,39715670.0,1696088.0,8147908.5,578832.1,7247373.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,1999,5369614.0,4459202.5,39994120.0,1726813.4,8294976.5,593253.44,7377795.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2000,5459144.5,4464436.5,40519316.0,1743936.4,8514807.0,591145.06,7507091.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2001,5486460.5,4626577.5,40095412.0,1758629.4,8519952.0,589178.8,7621759.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2002,5536913.0,4819475.0,40720948.0,1788463.9,8643431.0,603214.7,7444621.5,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2003,5613899.5,5048158.0,40876504.0,1815935.0,8756073.0,609672.3,7631998.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2004,5987200.5,5300810.5,41587756.0,1863553.2,8895058.0,628692.94,7826805.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2005,6172657.0,5679230.5,42255692.0,1907214.4,9003291.0,643748.6,8095404.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2006,6395651.5,6429609.0,42516660.0,1957212.4,9159432.0,659224.9,8389207.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2007,6941128.0,6909605.0,43610172.0,1999166.9,9412377.0,677992.7,8621693.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2008,7429158.0,7188636.0,44993296.0,2093274.9,9619493.0,744340.1,8787458.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2009,7845862.0,7506832.5,46198330.0,2137862.0,9872276.0,770927.1,8915924.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2010,8157106.0,7882298.5,47508104.0,2206313.2,10128725.0,802943.1,9042492.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2011,8433210.0,7945750.5,48127470.0,2200258.8,10255634.0,797470.0,9165907.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2012,8838818.0,8423671.0,48281464.0,2237102.5,10265514.0,819746.9,9280364.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2013,8881673.0,8702854.0,48554436.0,2268378.0,10276069.0,820890.6,9392544.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2014,9296783.0,9619756.0,49107172.0,2304355.8,10345732.0,832984.56,9505006.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2015,9456908.0,9919560.0,49494332.0,2314108.0,10437811.0,836377.3,9615463.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2016,9325691.0,10089019.0,48954356.0,2357288.5,10428412.0,832819.9,9727593.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2017,9652189.0,10730660.0,49013332.0,2421807.0,10469923.0,842624.8,9840595.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2018,9818858.0,10795358.0,48736120.0,2440055.5,10479997.0,835241.3,9951087.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2019,9464296.0,10453512.0,47878940.0,2428371.0,10427760.0,815178.06,10061199.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2020,8575110.0,9621835.0,46350892.0,2447980.0,10265922.0,788972.5,10168386.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2021,9056502.0,10759438.0,46867750.0,2494958.0,10341310.0,802068.25,10278381.0,0.0,175894.305,1303766.0090701755,2483992.905506062
India,IND,2022,9350050.0,11243415.0,46949000.0,2498395.2,10349039.0,809142.8,10385615.0,0.0,175894.305,1303766.0090701755,2483992.905506062
